facebook_name,facebook_id,facebook_likes,facebook_talking_about_count,facebook_category,facebook_url
Legia Warszawa,31672119577,971182,26102,Sports Team,https://www.facebook.com/LegiaWarszawa/
Leicester City Football Club,324520502768,6662480,196081,Sports Team,https://www.facebook.com/lcfc/
Levadiakos FC / ΠΑΕ Λεβαδειακός,1076901689022026,2178,109,Sports Team,https://www.facebook.com/LevadiakosFC.official/
Lille OSC,112499452095137,7025,0,Interest,https://www.facebook.com/pages/Lille-OSC/112499452095137
Liverpool FC Online,6958273867,2001972,20540,Sports Team,https://www.facebook.com/lfconline/
FK Lokomotyiv Moszkva,408499505956248,387,0,Interest,https://www.facebook.com/pages/FK-Lokomotyiv-Moszkva/408499505956248
NK Lokomotiva Zagreb,109754142439986,13264,553,Sports Team,https://www.facebook.com/NK-Lokomotiva-Zagreb-109754142439986/
Lyngby BK,106050886092026,2084,0,Interest,https://www.facebook.com/pages/Lyngby-BK/106050886092026
MFK Karviná,212955218770440,6468,940,Sports Team,https://www.facebook.com/mfkkarvina/
MFK Ružomberok,117009354892,7749,921,Sports Team,https://www.facebook.com/MfkRuzomberok/
MFK Zemplín Michalovce,261162520638814,8700,184,Sports Team,https://www.facebook.com/MFKZemplinMichalovce/
MTK Budapest,175389162474309,11040,409,Sports Team,https://www.facebook.com/MTKBudapest/
Malmö FF,27273505156,182118,6992,Sports Team,https://www.facebook.com/malmoff/
Manchester City,208411345454,24080022,474295,Sports Team,https://www.facebook.com/mancity/
Manchester United,7724542745,73206229,2546326,Sports Team,https://www.facebook.com/manchesterunited/
İstanbul Başakşehir FK,1645197899060582,1174,0,Interest,https://www.facebook.com/pages/%C4%B0stanbul-Ba%C5%9Fak%C5%9Fehir-FK/1645197899060582
Zsóry Hotel Fit****,111127535624056,28886,29,Hotel,https://www.facebook.com/Zsóry-Hotel-Fit-111127535624056/
Middlesbrough FC,386636354690970,443091,19051,Sports Team,https://www.facebook.com/MFCofficial/
Montpellier HSC,103134349726161,1219,0,Sports Team,https://www.facebook.com/pages/Montpellier-HSC/103134349726161
MOREIRENSE FC,398148420223574,25883,734,Sports Team,https://www.facebook.com/MoreirenseFC38/
Motherwell FC,210454735864,29783,1386,Sports Team,https://www.facebook.com/motherwellfc/
Málaga CF,116654715047032,1048039,7392,Sports Team,https://www.facebook.com/MalagaCF/
MŠK Žilina,31311851653,65236,1424,Sports Team,https://www.facebook.com/mskzilina/
N.E.C. Nijmegen,209195739104667,44917,896,Sports Team,https://www.facebook.com/NECNijmegen/
NK Inter-Zaprešić,102397256521597,6564,159,Sports Team,https://www.facebook.com/inter.hr/
NK Istra 1961,232017056921007,12885,931,Sports Team,https://www.facebook.com/NKIstra1961Pula/
NK Osijek,10390248851,35653,7338,Sports Team,https://www.facebook.com/nkosijek/
OGC Nice,102714646451500,452210,12640,Sports Team,https://www.facebook.com/ogcnice/
BK Ringen,216129785084586,646,4,Stadium, Arena & Sports Venue,https://www.facebook.com/bokseklubbenringen/
FC Olimpik Donetsk,111971538818514,234,0,Sports Team,https://www.facebook.com/pages/FC-Olimpik-Donetsk/111971538818514
Olympiakos Piräus G7,100592933350924,2546,3,Sports Team,https://www.facebook.com/Olympiakos-Piräus-G7-100592933350924/
OL - Olympique Lyonnais,250938593971,2860791,155009,Sports Team,https://www.facebook.com/olympiquelyonnais/
OM | Olympique De Marseille,6051144797,4905098,135207,Sports Team,https://www.facebook.com/OM/
Os Belenenses,141083789236195,111992,2811,Sports Team,https://www.facebook.com/osbelenenses/
Osmanlıspor FK,1454958298112375,171122,31983,Sports Team,https://www.facebook.com/osmanlispor2014/
