date,ACMilan,AtleticodeMadrid,Chelsea-FC,Juventus,RealMadrid,fcbarcelona,fcbayern,fcbayern.en,manchesterunited
2015-11-04,21432344,10146056,33301950,9791263,71618369,73173654,2579002,18861989,56864884
2015-11-05,21432638,10149729,33309439,9799867,71633344,73196489,2580412,18629568,56878407
2015-11-06,21434369,10154427,33319029,9810987,71657785,73225961,2581656,18462955,56896083
2015-11-07,21434184,10156795,33324502,9819284,71666544,73239979,2582079,18346440,56905099
2015-11-08,21434465,10158476,33329538,9825912,71670997,73251019,2582450,18262968,56913847
2015-11-09,21435496,10161465,33336245,9834230,71688600,73276201,2582946,18203049,56926995
2015-11-10,21435249,10163386,33339380,9840448,71694041,73287539,2582796,18152887,56935524
2015-11-11,21435693,10165879,33346501,9848766,71707405,73306701,2582901,18110919,56951641
2015-11-12,21435903,10167553,33350819,9855658,71714994,73319366,2583224,18075100,56962105
2015-11-13,21436180,10169416,33355385,9862900,71753023,73367331,2583310,18038922,56971369
2015-11-14,21436542,10171628,33361036,9870770,71827202,73445728,2583594,18005209,56981778
2015-11-15,21437780,10174070,33366472,9878301,71865055,73485122,2583840,17976369,56994464
2015-11-16,21438525,10176056,33370994,9885183,71883593,73509497,2584143,17951679,57004081
2015-11-17,21438716,10177976,33375311,9891915,71902604,73528310,2584218,17930105,57013137
2015-11-18,21438926,10179843,33379031,9897236,71924683,73545592,2584471,17909456,57021371
2015-11-19,21440774,10181726,33383496,9903845,71972945,73585023,2584713,17897173,57029923
2015-11-20,21441269,10183445,33387326,9910261,72021037,73631442,2584896,17880728,57040130
2015-11-21,21468623,10185222,33391975,9916804,72071109,73684058,2585004,17864098,57050756
2015-11-22,21479217,10179958,33372589,9916711,72087122,73737636,2583433,17841211,57022664
2015-11-23,21499687,10189296,33401158,9931487,72171651,73829633,2585573,17845026,57074064
2015-11-24,21501309,10190620,33403882,9937828,72190363,73849922,2585648,17836703,57081035
2015-11-25,21504215,10193901,33413215,9946177,72219062,73906433,2586790,17833568,57099351
2015-11-26,21504769,10195775,33418224,9954409,72243644,73935012,2587173,17829749,57114654
2015-11-27,21503916,10196557,33421023,9957703,72265970,73960173,2586861,17817752,57133483
2015-11-28,21504140,10198552,33427387,9963809,72292112,73985090,2586814,17810135,57150530
2015-11-29,21507755,10201846,33437715,9973238,72323750,74017010,2587227,17810531,57170937
2015-11-30,21507896,10203624,33444058,9979381,72351128,74043484,2587560,17806879,57185548
2015-12-01,21506911,10204672,33447615,9984918,72359915,74063878,2709652,17797417,57194936
2015-12-02,21509141,10207170,33455504,9994200,72370151,74084134,2742798,17795425,57205513
2015-12-03,21507335,10207026,33456326,9996665,72376341,74103584,2624488,17784064,57212297
2015-12-04,21509422,10209575,33465743,10004974,72388750,74126530,2620352,17792213,57225016
2015-12-05,21510990,10211673,33473381,10012438,72397549,74147335,2614349,17797915,57236280
2015-12-06,21510630,10212943,33477702,10017755,72401636,74166903,2608175,17800392,57245347
2015-12-07,21511303,10214746,33483388,10023853,72408984,74185087,2605633,17801843,57255331
2015-12-08,21512033,10216264,33495501,10029565,72414526,74200782,2605603,17799387,57263075
2015-12-09,21514030,10219741,33502318,10036233,72439723,74234330,2605784,17793636,57282985
2015-12-10,21515755,10223570,33512365,10043629,72460121,74270710,2606451,17793512,57298958
2015-12-11,21516378,10225958,33517465,10050705,72467315,74288528,2606746,17791483,57305463
2015-12-12,21517206,10228097,33524122,10057765,72478364,74310829,2606962,17787789,57315769
2015-12-13,21517760,10229729,33530343,10064278,72485709,74331155,2607127,17782073,57325408
2015-12-14,21518262,10232037,33534910,10069810,72495373,74347763,2607316,17777348,57332567
2015-12-15,21519621,10235027,33544573,10079536,72508282,74374210,2607577,17778288,57343418
2015-12-16,21520989,10237612,33552914,10086296,72522902,74401322,2608548,17775675,57355720
2015-12-17,21523867,10240593,33562235,10094449,72539120,74430343,2609295,17775071,57368372
2015-12-18,21035005,10141310,32844176,9948185,70933665,72876004,2589770,17459016,56002240
2015-12-19,21476217,10219726,33500067,10082927,72379247,74296850,2603894,17735340,57245276
2015-12-20,21530227,10247652,33593138,10114262,72567352,74502674,2610505,17783702,57398614
2015-12-21,21531081,10249831,33600486,10120495,72582459,74541534,2610976,17788789,57408365
2015-12-22,21531526,10251703,32566131,10126048,72592736,74565649,2611252,17790385,57418772
2015-12-23,21532295,10253633,32555122,10132580,72603216,74588764,2611420,17793707,57430060
2015-12-24,21533146,10255748,32562362,10139088,72612267,74611644,2611778,17797400,57441189
2015-12-25,21534083,10257641,32568889,10144558,72620362,74632094,2611731,17799229,57451022
2015-12-26,21534898,10259568,32575127,10150100,72628768,74650695,2611605,17800991,57460475
2015-12-27,21535724,10261449,32582718,10155647,72637942,74671798,2611572,17802931,57472970
2015-12-28,21536944,10263423,32589013,10160884,72646241,74691394,2611608,17805041,57482791
2015-12-29,21537881,10265322,32597409,10166124,72656204,74713364,2611123,17807892,57498447
2015-12-30,21538411,10267010,32603364,10171345,72663839,74733262,2611046,17810635,57508430
2015-12-31,21539154,10269106,32609407,10177151,72673974,74759198,2610939,17813499,57516605
2016-01-01,21540183,10270630,32613888,10183561,72682053,74779671,2610893,17813318,57525858
2016-01-02,21540820,10273139,32618936,10190166,72694165,74800358,2610715,17814096,57534943
2016-01-03,21541951,10275643,32625428,10196977,72705532,74818996,2610486,17814836,57546217
2016-01-04,21542513,10277500,32633533,10203759,72721828,74836918,2610633,17815354,57555244
2016-01-05,21542976,10279600,32639474,10209946,72747465,74856872,2610818,17816005,57564492
2016-01-06,21544448,10281764,32646467,10217067,72796838,74877933,2611214,17817800,57574515
2016-01-07,21543619,10282957,32649306,10220355,72819718,74903959,2611120,17813834,57582233
2016-01-08,21546217,10285829,32661145,10233024,72837998,74926676,2612125,17825025,57596082
2016-01-09,21547266,10288499,32670171,10242862,72856749,74949707,2612591,17836434,57610288
2016-01-10,21547823,10291434,32678690,10251590,72890825,74979496,2613120,17845549,57626894
2016-01-11,21546901,10292735,32683154,10257456,72905857,74991457,2613574,17850820,57633463
2016-01-12,21546587,10293481,32688280,10262997,72919266,75019286,2614240,17858284,57640627
2016-01-13,21546881,10294599,32693720,10269101,72934596,75057317,2615470,17866616,57653777
2016-01-14,21548925,10297689,32703384,10277434,72950807,75090486,2616367,17878887,57668713
2016-01-15,21547753,10298979,32705839,10281758,72958412,75102719,2617092,17883151,57678962
2016-01-16,21548351,10300596,32711844,10287884,72969785,75118668,2617776,17889881,57689619
2016-01-17,21531121,10294236,32691286,10284482,72921495,75072789,2616056,17881100,57653795
2016-01-18,21549015,10304118,32709218,10291779,72995293,75151876,2617894,17884606,57723411
2016-01-19,21516412,10293730,32616410,10206139,72952033,75146383,2617049,17700557,57595484
2016-01-20,21516053,10294135,32628976,10218160,72954524,75153862,2618512,17697254,57601208
2016-01-21,21515348,10294980,32637395,10226783,72956064,75163179,2619481,17693072,57605491
