team_name,team_tw_name,tw_id,url,created_at,followers,statuses
Heracles Almelo,HeraclesAlmelo,255411185,http://t.co/ynriB0MbAr,2011-02-21,19352,17522
Hertha BSC,HerthaBSC,105085224,https://t.co/YHSNAoR3gk,2010-01-15,246472,28195
Hibernian FC,HibsOfficial,419507602,https://t.co/kOyKZhrE5Z,2011-11-23,57695,32901
Huddersfield Town,htafcdotcom,116754180,https://t.co/zFaWH9xr4a,2010-02-23,84888,92816
Hull City,HullCity,104450912,https://t.co/80W2sb5Mss,2010-01-13,350064,51988
IF Elfsborg,IFElfsborg1904,404009988,http://t.co/MwnO5B4Xc6,2011-11-03,6642,8198
IFK Göteborg,ifk_goteborg,4396621054,None,2015-12-06,1,2
IFK Norrköping,NaN,NaN,NaN,NaN,NaN,NaN
Inter,Inter,124450567,https://t.co/TeURIlNq4z,2010-03-19,1221739,66967
Inverness CT,InvernessCTNews,385131694,None,2011-10-04,1979,2043
Ipswich Town,Official_ITFC,356175998,http://t.co/GcwQd0eiKc,2011-08-16,96387,26876
Jagiellonia Białystok,AgaaJagaa,704024455325065216,None,2016-02-28,1856,940
Juventus,juventusfc,253508662,http://t.co/fT71P8Cfie,2011-02-17,4213639,54580
Jönköpings Södra IF,NaN,NaN,NaN,NaN,NaN,NaN
KAA Gent,KAAGent,298020052,https://t.co/iVGzh3GRDC,2011-05-13,47856,24318
KRC Genk,KRCGenkofficial,91402003,https://t.co/gGCAPrWloG,2009-11-20,31556,12281
KV Kortrijk,kvkofficieel,581721936,http://t.co/kUpDUJyMNw,2012-05-16,12325,13124
KV Mechelen,kvmechelen,19635601,https://t.co/ucNBz3vbdV,2009-01-28,14955,6148
KV Oostende,kvoostende,1306812572,http://t.co/jaCKx8oq7k,2013-03-27,14840,7278
KVC Westerlo,KVCWesterlo,113925330,http://t.co/yMWUn6TvuF,2010-02-13,6009,4546
Kalmar FF,KalmarFF,307436048,https://t.co/ZjM2GDcriV,2011-05-29,4483,6911
Karabükspor,k_karabukspor,1683973639,http://t.co/vgtHHMlZDM,2013-08-19,8467,3499
Karlsruher SC,KarlsruherSC,89008167,http://t.co/jhTJlg3Z0S,2009-11-10,70278,10532
Kasımpaşa SK,kasimpasa,804434408,https://t.co/C1swpwUMex,2012-09-05,12511,6353
Kayserispor,KayserisporFK,1944931044,https://t.co/Z2VIuEc0lz,2013-10-07,29810,2483
Kilmarnock FC,OfficialKillie,701239488,http://t.co/Z3WANP2q4z,2012-07-17,22391,15875
Korona Kielce,Korona_Kielce,914203164,http://t.co/ido1JVGl1e,2012-10-30,10116,5250
Krylia Sovetov,giannibruno9,2409154454,None,2014-03-24,6097,1060
Latina Calcio,UsLatinaCalcio,430632208,https://t.co/xkqbpOJGWZ,2011-12-07,12976,4489
Lazio Roma,FootballBelgium,140485385,None,2010-05-05,669,1295
Le Havre AC,LeHavreAC,355673585,None,2011-08-15,28,0
Lech Poznań,lechpoznan,370562686,http://t.co/dio5RQlbmw,2011-09-09,89658,12824
